timestamp,label,true_severity,LOF_score,GRU_score,MLP_score,KRN_score,ENS_score,MACRO_score
2014-12-20 04:30:00,0,0.11004928,0.043922424,0.86774015,0.91076505,0.29782173,0.5300623,0.0
2014-12-20 05:00:00,0,0.10924689,0.044237375,0.86585844,0.91076505,0.28715464,0.5270039,0.0
2014-12-20 05:30:00,0,0.11686926,0.04476738,0.8677302,0.91076505,0.28462148,0.52697104,0.0
2014-12-20 06:00:00,0,0.11253095,0.043941855,0.8709393,0.91076505,0.24721922,0.5182164,0.0
2014-12-20 06:30:00,0,0.11582008,0.044097424,0.94700634,0.91076505,0.25529543,0.5392911,0.0
2014-12-20 07:00:00,0,0.114634246,0.04278505,0.9903502,0.91076505,0.46951917,0.6033549,0.0
2014-12-20 07:30:00,0,0.11650138,0.038754344,0.9877302,0.91076505,0.44613364,0.5958458,0.0
2014-12-20 08:00:00,0,0.124010354,0.033111215,0.9628647,0.91076505,0.45215726,0.58972454,0.0
2014-12-20 08:30:00,0,0.12511164,0.032551765,0.9398134,0.91076505,0.27797738,0.5402769,0.0
2014-12-20 09:00:00,0,0.11072709,0.034938574,0.8690151,0.91076505,0.3054489,0.53004193,0.0
2014-12-20 09:30:00,0,0.09204451,0.032609224,0.8679778,0.91076505,0.49888727,0.5775598,0.0
2014-12-20 10:00:00,0,0.08855233,0.031039715,0.85758495,0.91076505,0.4963443,0.5739335,0.0
2014-12-20 10:30:00,0,0.08868045,0.028842926,0.83162653,0.91076505,0.76223564,0.63336754,0.0
2014-12-20 11:00:00,0,0.093418226,0.028272867,0.83444387,0.91076505,0.7827215,0.63905084,0.0
2014-12-20 11:30:00,0,0.10038702,0.027878284,0.8899403,0.91076505,0.8686224,0.6743015,0.0
2014-12-20 12:00:00,0,0.10465998,0.03190422,0.9290178,0.91969705,0.92158544,0.70055115,0.0
2014-12-20 12:30:00,0,0.10599466,0.034465313,0.9292863,0.921961,0.9193793,0.70127296,0.0
2014-12-20 13:00:00,0,0.10505876,0.037001967,0.9292895,0.921961,0.90621483,0.69861686,0.0
2014-12-20 13:30:00,0,0.11154636,0.03935218,0.9292935,0.921961,0.8620721,0.6881697,0.0
2014-12-20 14:00:00,0,0.10904326,0.04278648,0.9293001,0.921961,0.8691385,0.6907965,0.0
2014-12-20 14:30:00,0,0.10550975,0.042087793,0.92930895,0.921961,0.8172616,0.67765486,0.0
2014-12-20 15:00:00,0,0.103786394,0.040691853,0.9293184,0.921961,0.7960398,0.6720028,0.0
2014-12-20 15:30:00,0,0.10307589,0.044465065,0.92932665,0.921961,0.78167206,0.66935617,0.0
2014-12-20 16:00:00,0,0.084122166,0.044142246,0.97382283,0.921961,0.40124166,0.585292,0.0
2014-12-20 16:30:00,0,0.09424975,0.043498755,0.929349,0.921961,0.51134664,0.60153884,0.0
2014-12-20 17:00:00,0,0.08681768,0.04313922,0.92936814,0.921961,0.3453789,0.5599618,0.0
2014-12-20 17:30:00,0,0.10132871,0.04149282,0.9293916,0.921961,0.38836163,0.5703018,0.0
2014-12-20 18:00:00,0,0.10473117,0.040961027,0.9294186,0.921961,0.4389838,0.58283114,0.0
2014-12-20 18:30:00,0,0.11076323,0.040647745,0.9294437,0.921961,0.60706204,0.6247786,0.0
2014-12-20 19:00:00,0,0.12255569,0.04130888,0.92945474,0.921961,0.69047797,0.64580065,0.0
2014-12-20 19:30:00,0,0.1172373,0.041805863,0.9294257,0.921961,0.6764356,0.64240706,0.0
2014-12-20 20:00:00,0,0.10672234,0.038542032,0.9292995,0.921961,0.5000397,0.5974605,0.0
2014-12-20 20:30:00,0,0.10568922,0.034596562,0.92896277,0.921961,0.47576562,0.5903215,0.0
